age_group,food_category,avg_intake_g,overall_avg_g,weight_raw,weight
19_29,기타,71.68,150.66,0.4758,0.7
30s,기타,84.67,150.66,0.562,0.7
40s,기타,129.57,150.66,0.86,0.86
50_64,기타,193.97,150.66,1.2875,1.287
65_plus,기타,195.19,150.66,1.2956,1.296
under_19,기타,104.15,150.66,0.6913,0.7
19_29,단백질,377.01,335.92,1.1223,1.122
30s,단백질,390.5,335.92,1.1625,1.162
40s,단백질,356.46,335.92,1.0611,1.061
50_64,단백질,338.12,335.92,1.0066,1.007
65_plus,단백질,259.54,335.92,0.7726,0.773
under_19,단백질,398.8,335.92,1.1872,1.187
19_29,채소,186.93,277.25,0.6742,0.7
30s,채소,229.73,277.25,0.8286,0.829
40s,채소,284.94,277.25,1.0278,1.028
50_64,채소,336.78,277.25,1.2147,1.215
65_plus,채소,336.45,277.25,1.2135,1.214
under_19,채소,140.19,277.25,0.5056,0.7
19_29,탄수화물,299.61,279.91,1.0704,1.07
30s,탄수화물,277.3,279.91,0.9907,0.991
40s,탄수화물,264.58,279.91,0.9452,0.945
50_64,탄수화물,283.37,279.91,1.0124,1.012
65_plus,탄수화물,278.83,279.91,0.9962,0.996
under_19,탄수화물,277.63,279.91,0.9919,0.992
